mpg,weight,displacement,horsepower,cylinders,acceleration,model_year,origin,name,,,,,,,,,
18,3504,307,130,8,12,70,usa,chevrolet chevelle malibu,,,,,,,,,
15,3693,350,165,8,11.5,70,usa,buick skylark 320,,,,,,,,,
18,3436,318,150,8,11,70,usa,plymouth satellite,,,,,,,,,
16,3433,304,150,8,12,70,usa,amc rebel sst,,,,,,,,,
17,3449,302,140,8,10.5,70,usa,ford torino,,,,,,,,,
15,4341,429,198,8,10,70,usa,ford galaxie 500,,,,,,,,,
14,4354,454,220,8,9,70,usa,chevrolet impala,,,,,,,,,
14,4312,440,215,8,8.5,70,usa,plymouth fury iii,,,,,,,,,
14,4425,455,225,8,10,70,usa,pontiac catalina,,,,,,,,,
15,3850,390,190,8,8.5,70,usa,amc ambassador dpl,,,,,,,,,
15,3563,383,170,8,10,70,usa,dodge challenger se,,,,,,,,,
14,3609,340,160,8,8,70,usa,plymouth 'cuda 340,,,,,,,,,
15,3761,400,150,8,9.5,70,usa,chevrolet monte carlo,,,,,,,,,
14,3086,455,225,8,10,70,usa,buick estate wagon (sw),,,,,,,,,
24,2372,113,95,4,15,70,japan,toyota corona mark ii,,,,,,,,,
22,2833,198,95,6,15.5,70,usa,plymouth duster,,,,,,,,,
18,2774,199,97,6,15.5,70,usa,amc hornet,,,,,,,,,
21,2587,200,85,6,16,70,usa,ford maverick,,,,,,,,,
27,2130,97,88,4,14.5,70,japan,datsun pl510,,,,,,,,,
26,1835,97,46,4,20.5,70,europe,volkswagen 1131 deluxe sedan,,,,,,,,,
25,2672,110,87,4,17.5,70,europe,peugeot 504,,,,,,,,,
24,2430,107,90,4,14.5,70,europe,audi 100 ls,,,,,,,,,
25,2375,104,95,4,17.5,70,europe,saab 99e,,,,,,,,,
26,2234,121,113,4,12.5,70,europe,bmw 2002,,,,,,,,,
21,2648,199,90,6,15,70,usa,amc gremlin,,,,,,,,,
10,4615,360,215,8,14,70,usa,ford f250,,,,,,,,,
10,4376,307,200,8,15,70,usa,chevy c20,,,,,,,,,
11,4382,318,210,8,13.5,70,usa,dodge d200,,,,,,,,,
9,4732,304,193,8,18.5,70,usa,hi 1200d,,,,,,,,,
27,2130,97,88,4,14.5,71,japan,datsun pl510,,,,,,,,,
28,2264,140,90,4,15.5,71,usa,chevrolet vega 2300,,,,,,,,,
25,2228,113,95,4,14,71,japan,toyota corona,,,,,,,,,
25,2046,98,,4,19,71,usa,ford pinto,,,,,,,,,
19,2634,232,100,6,13,71,usa,amc gremlin,,,,,,,,,
16,3439,225,105,6,15.5,71,usa,plymouth satellite custom,,,,,,,,,
17,3329,250,100,6,15.5,71,usa,chevrolet chevelle malibu,,,,,,,,,
19,3302,250,88,6,15.5,71,usa,ford torino 500,,,,,,,,,
18,3288,232,100,6,15.5,71,usa,amc matador,,,,,,,,,
14,4209,350,165,8,12,71,usa,chevrolet impala,,,,,,,,,
14,4464,400,175,8,11.5,71,usa,pontiac catalina brougham,,,,,,,,,
14,4154,351,153,8,13.5,71,usa,ford galaxie 500,,,,,,,,,
14,4096,318,150,8,13,71,usa,plymouth fury iii,,,,,,,,,
12,4955,383,180,8,11.5,71,usa,dodge monaco (sw),,,,,,,,,
13,4746,400,170,8,12,71,usa,ford country squire (sw),,,,,,,,,
13,5140,400,175,8,12,71,usa,pontiac safari (sw),,,,,,,,,
18,2962,258,110,6,13.5,71,usa,amc hornet sportabout (sw),,,,,,,,,
22,2408,140,72,4,19,71,usa,chevrolet vega (sw),,,,,,,,,
19,3282,250,100,6,15,71,usa,pontiac firebird,,,,,,,,,
18,3139,250,88,6,14.5,71,usa,ford mustang,,,,,,,,,
23,2220,122,86,4,14,71,usa,mercury capri 2000,,,,,,,,,
28,2123,116,90,4,14,71,europe,opel 1900,,,,,,,,,
30,2074,79,70,4,19.5,71,europe,peugeot 304,,,,,,,,,
30,2065,88,76,4,14.5,71,europe,fiat 124b,,,,,,,,,
31,1773,71,65,4,19,71,japan,toyota corolla 1200,,,,,,,,,
35,1613,72,69,4,18,71,japan,datsun 1200,,,,,,,,,
27,1834,97,60,4,19,71,europe,volkswagen model 111,,,,,,,,,
26,1955,91,70,4,20.5,71,usa,plymouth cricket,,,,,,,,,
24,2278,113,95,4,15.5,72,japan,toyota corona hardtop,,,,,,,,,
25,2126,97.5,80,4,17,72,usa,dodge colt hardtop,,,,,,,,,
23,2254,97,54,4,23.5,72,europe,volkswagen type 3,,,,,,,,,
20,2408,140,90,4,19.5,72,usa,chevrolet vega,,,,,,,,,
21,2226,122,86,4,16.5,72,usa,ford pinto runabout,,,,,,,,,
13,4274,350,165,8,12,72,usa,chevrolet impala,,,,,,,,,
14,4385,400,175,8,12,72,usa,pontiac catalina,,,,,,,,,
15,4135,318,150,8,13.5,72,usa,plymouth fury iii,,,,,,,,,
14,4129,351,153,8,13,72,usa,ford galaxie 500,,,,,,,,,
17,3672,304,150,8,11.5,72,usa,amc ambassador sst,,,,,,,,,
11,4633,429,208,8,11,72,usa,mercury marquis,,,,,,,,,
13,4502,350,155,8,13.5,72,usa,buick lesabre custom,,,,,,,,,
12,4456,350,160,8,13.5,72,usa,oldsmobile delta 88 royale,,,,,,,,,
13,4422,400,190,8,12.5,72,usa,chrysler newport royal,,,,,,,,,
19,2330,70,97,3,13.5,72,japan,mazda rx2 coupe,,,,,,,,,
15,3892,304,150,8,12.5,72,usa,amc matador (sw),,,,,,,,,
13,4098,307,130,8,14,72,usa,chevrolet chevelle concours (sw),,,,,,,,,
13,4294,302,140,8,16,72,usa,ford gran torino (sw),,,,,,,,,
14,4077,318,150,8,14,72,usa,plymouth satellite custom (sw),,,,,,,,,
18,2933,121,112,4,14.5,72,europe,volvo 145e (sw),,,,,,,,,
22,2511,121,76,4,18,72,europe,volkswagen 411 (sw),,,,,,,,,
21,2979,120,87,4,19.5,72,europe,peugeot 504 (sw),,,,,,,,,
26,2189,96,69,4,18,72,europe,renault 12 (sw),,,,,,,,,
22,2395,122,86,4,16,72,usa,ford pinto (sw),,,,,,,,,
28,2288,97,92,4,17,72,japan,datsun 510 (sw),,,,,,,,,
23,2506,120,97,4,14.5,72,japan,toyouta corona mark ii (sw),,,,,,,,,
28,2164,98,80,4,15,72,usa,dodge colt (sw),,,,,,,,,
27,2100,97,88,4,16.5,72,japan,toyota corolla 1600 (sw),,,,,,,,,
13,4100,350,175,8,13,73,usa,buick century 350,,,,,,,,,
14,3672,304,150,8,11.5,73,usa,amc matador,,,,,,,,,
13,3988,350,145,8,13,73,usa,chevrolet malibu,,,,,,,,,
14,4042,302,137,8,14.5,73,usa,ford gran torino,,,,,,,,,
15,3777,318,150,8,12.5,73,usa,dodge coronet custom,,,,,,,,,
12,4952,429,198,8,11.5,73,usa,mercury marquis brougham,,,,,,,,,
13,4464,400,150,8,12,73,usa,chevrolet caprice classic,,,,,,,,,
13,4363,351,158,8,13,73,usa,ford ltd,,,,,,,,,
14,4237,318,150,8,14.5,73,usa,plymouth fury gran sedan,,,,,,,,,
13,4735,440,215,8,11,73,usa,chrysler new yorker brougham,,,,,,,,,
12,4951,455,225,8,11,73,usa,buick electra 225 custom,,,,,,,,,
13,3821,360,175,8,11,73,usa,amc ambassador brougham,,,,,,,,,
18,3121,225,105,6,16.5,73,usa,plymouth valiant,,,,,,,,,
16,3278,250,100,6,18,73,usa,chevrolet nova custom,,,,,,,,,
18,2945,232,100,6,16,73,usa,amc hornet,,,,,,,,,
18,3021,250,88,6,16.5,73,usa,ford maverick,,,,,,,,,
23,2904,198,95,6,16,73,usa,plymouth duster,,,,,,,,,
26,1950,97,46,4,21,73,europe,volkswagen super beetle,,,,,,,,,
11,4997,400,150,8,14,73,usa,chevrolet impala,,,,,,,,,
12,4906,400,167,8,12.5,73,usa,ford country,,,,,,,,,
13,4654,360,170,8,13,73,usa,plymouth custom suburb,,,,,,,,,
12,4499,350,180,8,12.5,73,usa,oldsmobile vista cruiser,,,,,,,,,
18,2789,232,100,6,15,73,usa,amc gremlin,,,,,,,,,
20,2279,97,88,4,19,73,japan,toyota carina,,,,,,,,,
21,2401,140,72,4,19.5,73,usa,chevrolet vega,,,,,,,,,
22,2379,108,94,4,16.5,73,japan,datsun 610,,,,,,,,,
18,2124,70,90,3,13.5,73,japan,maxda rx3,,,,,,,,,
19,2310,122,85,4,18.5,73,usa,ford pinto,,,,,,,,,
21,2472,155,107,6,14,73,usa,mercury capri v6,,,,,,,,,
26,2265,98,90,4,15.5,73,europe,fiat 124 sport coupe,,,,,,,,,
15,4082,350,145,8,13,73,usa,chevrolet monte carlo s,,,,,,,,,
16,4278,400,230,8,9.5,73,usa,pontiac grand prix,,,,,,,,,
